estado,año,pct_secundario,pct_terciario
Aguascalientes,2003,35.2,53.89
Baja California,2003,45.58,45.34
Baja California Sur,2003,21.93,68.67
Campeche,2003,91.35,7.64
Coahuila de Zaragoza,2003,56.8,34.38
Colima,2003,28.59,60.69
Chiapas,2003,28.79,58.82
Chihuahua,2003,39.27,49.06
Ciudad de México,2003,14.3,79.04
Durango,2003,34.83,49.74
Guanajuato,2003,37.33,52.35
Guerrero,2003,16.21,73.22
Hidalgo,2003,46.06,45.35
Jalisco,2003,30.09,57.3
México,2003,33.26,56.99
Michoacán de Ocampo,2003,22.97,61.24
Morelos,2003,30.33,59.91
Nayarit,2003,19.73,66.93
Nuevo León,2003,41.82,49.78
Oaxaca,2003,37.74,53.13
Puebla,2003,31.01,58.18
Querétaro,2003,45.91,44.47
Quintana Roo,2003,13.08,77.97
San Luis Potosí,2003,36.77,53.49
Sinaloa,2003,19.29,65.47
Sonora,2003,41.38,46.23
Tabasco,2003,55.96,38.19
Tamaulipas,2003,42.94,48.42
Tlaxcala,2003,33.3,55.96
Veracruz de Ignacio de la Llave,2003,32.36,56.27
Yucatán,2003,23.39,67.63
Zacatecas,2003,22.48,57.74
Aguascalientes,2004,35.47,53.7
Baja California,2004,44.72,45.92
Baja California Sur,2004,23.1,68.03
Campeche,2004,90.95,7.96
Coahuila de Zaragoza,2004,55.94,35.11
Colima,2004,27.73,61.3
Chiapas,2004,25.31,62.88
Chihuahua,2004,39.31,48.85
Ciudad de México,2004,14.49,78.84
Durango,2004,35.9,49.11
Guanajuato,2004,37.39,52.12
Guerrero,2004,16.6,73.22
Hidalgo,2004,49.04,42.81
Jalisco,2004,29.44,57.49
México,2004,33.23,57.2
Michoacán de Ocampo,2004,24.27,60.73
Morelos,2004,30.46,59.65
Nayarit,2004,26.9,60.19
Nuevo León,2004,41.33,50.42
Oaxaca,2004,36.76,54.41
Puebla,2004,31.05,58.19
Querétaro,2004,46.27,44.3
Quintana Roo,2004,13.7,77.56
San Luis Potosí,2004,40.04,50.63
Sinaloa,2004,21.26,62.67
Sonora,2004,42.55,45.78
Tabasco,2004,55.9,38.12
Tamaulipas,2004,43.59,47.57
Tlaxcala,2004,34.81,54.77
Veracruz de Ignacio de la Llave,2004,33.55,55.69
Yucatán,2004,22.7,68.04
Zacatecas,2004,24.67,57.22
Aguascalientes,2005,35.4,53.48
Baja California,2005,44.06,46.38
Baja California Sur,2005,21.34,69.14
Campeche,2005,90.55,8.27
Coahuila de Zaragoza,2005,55.46,35.58
Colima,2005,25.98,63.47
Chiapas,2005,25.13,63.59
Chihuahua,2005,38.72,49.3
Ciudad de México,2005,14.84,78.35
Durango,2005,34.26,51.96
Guanajuato,2005,37.17,52.74
Guerrero,2005,17.3,72.23
Hidalgo,2005,47.85,43.84
Jalisco,2005,29.79,57.32
México,2005,33.02,57.25
Michoacán de Ocampo,2005,22.82,62.54
Morelos,2005,32.24,57.98
Nayarit,2005,28.64,58.67
Nuevo León,2005,41.7,50.35
Oaxaca,2005,35.88,55.51
Puebla,2005,33.24,56.07
Querétaro,2005,46.32,44.63
Quintana Roo,2005,15.62,75.92
San Luis Potosí,2005,40.52,50.15
Sinaloa,2005,19.27,65.03
Sonora,2005,43.06,44.8
Tabasco,2005,57.67,36.9
Tamaulipas,2005,44.77,46.83
Tlaxcala,2005,31.77,57.78
Veracruz de Ignacio de la Llave,2005,33.72,56.06
Yucatán,2005,23.7,67.39
Zacatecas,2005,25.01,57.51
Aguascalientes,2006,37.33,51.5
Baja California,2006,45.97,44.55
Baja California Sur,2006,21.63,69.33
Campeche,2006,89.95,8.76
Coahuila de Zaragoza,2006,56.06,35.25
Colima,2006,25.85,63.36
Chiapas,2006,26.63,62.35
Chihuahua,2006,39.12,48.77
Ciudad de México,2006,15.47,77.78
Durango,2006,32.73,52.41
Guanajuato,2006,37.8,52.48
Guerrero,2006,18.3,71.17
Hidalgo,2006,45.15,46.06
Jalisco,2006,29.95,57.11
México,2006,32.74,57.36
Michoacán de Ocampo,2006,23.25,61.49
Morelos,2006,29.49,60.6
Nayarit,2006,26.05,61.13
Nuevo León,2006,42.17,49.99
Oaxaca,2006,34.97,56.0
Puebla,2006,33.44,55.99
Querétaro,2006,46.03,44.98
Quintana Roo,2006,15.68,75.81
San Luis Potosí,2006,39.69,51.1
Sinaloa,2006,18.92,64.36
Sonora,2006,45.15,43.02
Tabasco,2006,59.18,35.5
Tamaulipas,2006,44.48,47.02
Tlaxcala,2006,30.94,58.43
Veracruz de Ignacio de la Llave,2006,34.03,55.83
Yucatán,2006,24.55,66.49
Zacatecas,2006,24.26,56.04
Aguascalientes,2007,39.91,49.18
Baja California,2007,45.73,45.07
Baja California Sur,2007,22.13,68.87
Campeche,2007,89.35,9.44
Coahuila de Zaragoza,2007,56.19,35.35
Colima,2007,28.17,61.58
Chiapas,2007,24.37,64.3
Chihuahua,2007,40.23,47.94
Ciudad de México,2007,14.31,79.1
Durango,2007,34.02,51.98
Guanajuato,2007,36.31,53.86
Guerrero,2007,20.03,69.85
Hidalgo,2007,45.74,45.92
Jalisco,2007,29.81,57.22
México,2007,31.91,58.3
Michoacán de Ocampo,2007,24.63,60.13
Morelos,2007,30.41,59.69
Nayarit,2007,24.78,61.75
Nuevo León,2007,41.78,50.57
Oaxaca,2007,34.58,56.3
Puebla,2007,33.95,55.59
Querétaro,2007,45.51,45.5
Quintana Roo,2007,13.78,77.82
San Luis Potosí,2007,38.95,52.02
Sinaloa,2007,21.23,62.02
Sonora,2007,44.38,43.28
Tabasco,2007,59.89,35.29
Tamaulipas,2007,44.8,46.56
Tlaxcala,2007,31.77,58.27
Veracruz de Ignacio de la Llave,2007,35.2,54.94
Yucatán,2007,24.93,66.38
Zacatecas,2007,25.91,55.81
Aguascalientes,2008,37.89,50.83
Baja California,2008,44.67,46.0
Baja California Sur,2008,25.42,65.97
Campeche,2008,87.91,10.67
Coahuila de Zaragoza,2008,55.02,36.36
Colima,2008,28.19,61.21
Chiapas,2008,26.48,62.67
