estado,año,ied_mdd
Aguascalientes,2006,140.59
Aguascalientes,2007,410.57
Aguascalientes,2008,337.49
Aguascalientes,2009,342.21
Aguascalientes,2010,333.15
Aguascalientes,2011,236.81
Aguascalientes,2012,355.21
Aguascalientes,2013,69.14
Aguascalientes,2014,978.8
Aguascalientes,2015,812.58
Aguascalientes,2016,594.88
Aguascalientes,2017,1576.34
Aguascalientes,2018,1196.98
Aguascalientes,2019,452.12
Aguascalientes,2020,743.66
Aguascalientes,2021,67.18
Aguascalientes,2022,598.32
Aguascalientes,2023,1080.26
Aguascalientes,2024,1007.05
Baja California,2006,1340.72
Baja California,2007,1790.83
Baja California,2008,1454.14
Baja California,2009,829.52
Baja California,2010,1414.82
Baja California,2011,766.32
Baja California,2012,1018.52
Baja California,2013,1290.83
Baja California,2014,1223.34
Baja California,2015,1167.28
Baja California,2016,1567.13
Baja California,2017,1679.27
Baja California,2018,1631.15
Baja California,2019,1183.73
Baja California,2020,1195.39
Baja California,2021,2222.16
Baja California,2022,1877.02
Baja California,2023,1412.21
Baja California,2024,2469.05
Baja California Sur,2006,592.18
Baja California Sur,2007,819.29
Baja California Sur,2008,810.58
Baja California Sur,2009,449.53
Baja California Sur,2010,517.75
Baja California Sur,2011,711.28
Baja California Sur,2012,720.63
Baja California Sur,2013,421.34
Baja California Sur,2014,228.7
Baja California Sur,2015,352.01
Baja California Sur,2016,510.79
Baja California Sur,2017,568.94
Baja California Sur,2018,443.06
Baja California Sur,2019,464.97
Baja California Sur,2020,617.41
Baja California Sur,2021,1089.5
Baja California Sur,2022,834.29
Baja California Sur,2023,1162.09
Baja California Sur,2024,1418.17
Campeche,2006,30.42
Campeche,2007,134.52
Campeche,2008,150.05
Campeche,2009,26.17
Campeche,2010,73.2
Campeche,2011,24.8
Campeche,2012,209.67
Campeche,2013,278.42
Campeche,2014,218.57
Campeche,2015,543.01
Campeche,2016,142.17
Campeche,2017,328.35
Campeche,2018,123.49
Campeche,2019,151.87
Campeche,2020,199.06
Campeche,2021,218.42
Campeche,2022,40.24
Campeche,2023,98.61
Campeche,2024,517.82
Chiapas,2006,89.26
Chiapas,2007,186.88
Chiapas,2008,63.2
Chiapas,2009,91.88
Chiapas,2010,157.68
Chiapas,2011,92.81
Chiapas,2012,121.09
Chiapas,2013,182.41
Chiapas,2014,36.56
Chiapas,2015,270.08
Chiapas,2016,139.79
Chiapas,2017,217.09
Chiapas,2018,70.22
Chiapas,2019,256.65
Chiapas,2020,133.14
Chiapas,2021,157.04
Chiapas,2022,186.74
Chiapas,2023,31.98
Chiapas,2024,107.12
Chihuahua,2006,1948.82
Chihuahua,2007,2267.16
Chihuahua,2008,2625.23
Chihuahua,2009,1424.71
Chihuahua,2010,1847.78
Chihuahua,2011,1218.11
Chihuahua,2012,1186.89
Chihuahua,2013,2311.45
Chihuahua,2014,1936.58
Chihuahua,2015,2524.52
Chihuahua,2016,1986.07
Chihuahua,2017,1825.31
Chihuahua,2018,1241.94
Chihuahua,2019,1406.99
Chihuahua,2020,641.06
Chihuahua,2021,1920.13
Chihuahua,2022,1868.61
Chihuahua,2023,1963.12
Chihuahua,2024,1536.27
Ciudad de México,2006,5671.13
Ciudad de México,2007,6931.54
Ciudad de México,2008,7730.79
Ciudad de México,2009,5254.64
Ciudad de México,2010,4064.56
Ciudad de México,2011,7507.6
Ciudad de México,2012,1337.46
Ciudad de México,2013,5835.45
Ciudad de México,2014,6126.79
Ciudad de México,2015,5909.21
Ciudad de México,2016,6750.16
Ciudad de México,2017,5123.85
Ciudad de México,2018,5844.92
Ciudad de México,2019,8779.15
Ciudad de México,2020,6997.35
Ciudad de México,2021,7177.79
Ciudad de México,2022,11066.53
Ciudad de México,2023,11385.43
Ciudad de México,2024,15519.46
Coahuila de Zaragoza,2006,608.28
Coahuila de Zaragoza,2007,666.29
Coahuila de Zaragoza,2008,583.08
Coahuila de Zaragoza,2009,381.21
Coahuila de Zaragoza,2010,751.2
