estado,año,informalidad_pct
Aguascalientes,2005,45.36
Aguascalientes,2006,46.05
Aguascalientes,2007,46.92
Aguascalientes,2008,47.4
Aguascalientes,2009,48.09
Aguascalientes,2010,48.15
Aguascalientes,2011,48.02
Aguascalientes,2012,49.65
Aguascalientes,2013,48.83
Aguascalientes,2014,45.46
Aguascalientes,2015,43.74
Aguascalientes,2016,43.89
Aguascalientes,2017,43.44
Aguascalientes,2018,42.88
Aguascalientes,2019,41.1
Aguascalientes,2020,39.77
Aguascalientes,2021,39.95
Aguascalientes,2022,40.47
Aguascalientes,2023,40.61
Aguascalientes,2024,40.31
Aguascalientes,2025,41.87
Baja California,2005,41.39
Baja California,2006,39.44
Baja California,2007,38.59
Baja California,2008,40.05
Baja California,2009,42.17
Baja California,2010,43.0
Baja California,2011,43.38
Baja California,2012,44.74
Baja California,2013,41.9
Baja California,2014,39.02
Baja California,2015,39.63
Baja California,2016,39.54
Baja California,2017,39.07
Baja California,2018,39.44
Baja California,2019,37.59
Baja California,2020,37.4
Baja California,2021,38.22
Baja California,2022,37.74
Baja California,2023,37.59
Baja California,2024,36.96
Baja California,2025,37.98
Baja California Sur,2005,41.89
Baja California Sur,2006,37.53
Baja California Sur,2007,38.81
Baja California Sur,2008,39.12
Baja California Sur,2009,41.44
Baja California Sur,2010,42.64
Baja California Sur,2011,41.87
Baja California Sur,2012,41.64
Baja California Sur,2013,40.99
Baja California Sur,2014,40.63
Baja California Sur,2015,39.99
Baja California Sur,2016,38.61
Baja California Sur,2017,39.58
Baja California Sur,2018,37.93
Baja California Sur,2019,37.72
Baja California Sur,2020,37.29
Baja California Sur,2021,37.22
Baja California Sur,2022,38.31
Baja California Sur,2023,37.69
Baja California Sur,2024,36.82
Baja California Sur,2025,38.13
Campeche,2005,61.17
Campeche,2006,60.03
Campeche,2007,59.12
Campeche,2008,60.06
Campeche,2009,61.16
Campeche,2010,60.93
Campeche,2011,62.27
Campeche,2012,62.32
Campeche,2013,61.67
Campeche,2014,60.66
Campeche,2015,61.34
Campeche,2016,61.98
Campeche,2017,63.59
Campeche,2018,62.57
Campeche,2019,62.03
Campeche,2020,59.95
Campeche,2021,62.82
Campeche,2022,61.81
Campeche,2023,60.64
Campeche,2024,59.12
Campeche,2025,60.19
Chiapas,2005,80.04
Chiapas,2006,78.71
Chiapas,2007,77.81
Chiapas,2008,77.03
Chiapas,2009,76.99
Chiapas,2010,77.44
Chiapas,2011,77.51
Chiapas,2012,77.32
Chiapas,2013,78.17
Chiapas,2014,79.12
Chiapas,2015,79.03
Chiapas,2016,79.63
Chiapas,2017,79.69
Chiapas,2018,79.05
Chiapas,2019,74.88
Chiapas,2020,75.03
Chiapas,2021,75.56
Chiapas,2022,75.72
Chiapas,2023,74.61
Chiapas,2024,74.79
Chiapas,2025,76.47
Chihuahua,2005,39.82
Chihuahua,2006,41.25
Chihuahua,2007,42.09
Chihuahua,2008,43.55
Chihuahua,2009,47.37
Chihuahua,2010,45.43
Chihuahua,2011,44.99
Chihuahua,2012,42.21
Chihuahua,2013,38.83
Chihuahua,2014,37.87
Chihuahua,2015,36.77
Chihuahua,2016,34.68
Chihuahua,2017,35.56
Chihuahua,2018,36.24
Chihuahua,2019,36.38
Chihuahua,2020,35.7
Chihuahua,2021,36.2
Chihuahua,2022,36.31
Chihuahua,2023,34.92
Chihuahua,2024,35.3
Chihuahua,2025,35.16
Ciudad de México,2016,47.94
Ciudad de México,2017,47.82
Ciudad de México,2018,49.02
Ciudad de México,2019,49.42
Ciudad de México,2020,46.05
Ciudad de México,2021,47.71
Ciudad de México,2022,46.93
Ciudad de México,2023,46.19
Ciudad de México,2024,45.64
Ciudad de México,2025,45.32
Coahuila de Zaragoza,2005,40.1
Coahuila de Zaragoza,2006,40.34
Coahuila de Zaragoza,2007,40.51
Coahuila de Zaragoza,2008,42.26
Coahuila de Zaragoza,2009,43.37
Coahuila de Zaragoza,2010,43.34
Coahuila de Zaragoza,2011,42.51
Coahuila de Zaragoza,2012,43.39
Coahuila de Zaragoza,2013,40.35
Coahuila de Zaragoza,2014,36.55
Coahuila de Zaragoza,2015,35.38
Coahuila de Zaragoza,2016,37.05
Coahuila de Zaragoza,2017,36.97
Coahuila de Zaragoza,2018,35.31
Coahuila de Zaragoza,2019,33.84
Coahuila de Zaragoza,2020,35.56
Coahuila de Zaragoza,2021,35.99
Coahuila de Zaragoza,2022,34.57
Coahuila de Zaragoza,2023,34.74
Coahuila de Zaragoza,2024,34.7
Coahuila de Zaragoza,2025,33.49
Colima,2005,52.69
Colima,2006,51.96
Colima,2007,50.95
Colima,2008,51.58
Colima,2009,53.64
Colima,2010,54.5
Colima,2011,55.02
Colima,2012,54.88
Colima,2013,53.79
Colima,2014,53.94
Colima,2015,53.77
Colima,2016,52.59
Colima,2017,51.24
Colima,2018,49.27
Colima,2019,51.06
Colima,2020,50.36
Colima,2021,48.64
Colima,2022,48.37
Colima,2023,48.81
Colima,2024,46.65
Colima,2025,48.16
Distrito Federal,2005,50.2
Distrito Federal,2006,49.55
Distrito Federal,2007,47.89
Distrito Federal,2008,47.9
Distrito Federal,2009,48.68
Distrito Federal,2010,48.9
Distrito Federal,2011,49.05
Distrito Federal,2012,49.52
Distrito Federal,2013,50.32
Distrito Federal,2014,50.07
Distrito Federal,2015,50.42
Durango,2005,55.77
Durango,2006,54.81
Durango,2007,51.99
Durango,2008,51.17
Durango,2009,53.67
Durango,2010,55.11
Durango,2011,53.97
Durango,2012,56.6
Durango,2013,56.91
Durango,2014,55.33
Durango,2015,56.07
Durango,2016,53.06
Durango,2017,53.6
Durango,2018,51.66
Durango,2019,50.82
Durango,2020,50.93
Durango,2021,52.05
Durango,2022,51.06
Durango,2023,51.07
Durango,2024,49.77
Durango,2025,51.99
Guanajuato,2005,61.4
Guanajuato,2006,59.69
Guanajuato,2007,59.76
Guanajuato,2008,60.68
Guanajuato,2009,62.78
Guanajuato,2010,61.75
Guanajuato,2011,62.58
Guanajuato,2012,62.96
Guanajuato,2013,61.41
Guanajuato,2014,59.0
Guanajuato,2015,57.53
Guanajuato,2016,55.75
Guanajuato,2017,56.01
Guanajuato,2018,53.67
Guanajuato,2019,53.75
Guanajuato,2020,54.4
Guanajuato,2021,55.56
Guanajuato,2022,55.49
Guanajuato,2023,53.93
Guanajuato,2024,54.26
Guanajuato,2025,54.34
Guerrero,2005,77.44
Guerrero,2006,75.91
Guerrero,2007,75.93
Guerrero,2008,76.3
Guerrero,2009,78.06
Guerrero,2010,78.24
Guerrero,2011,79.25
Guerrero,2012,79.75
Guerrero,2013,78.4
Guerrero,2014,79.46
Guerrero,2015,80.62
Guerrero,2016,78.91
Guerrero,2017,78.67
Guerrero,2018,77.97
Guerrero,2019,78.89
Guerrero,2020,77.71
Guerrero,2021,77.16
Guerrero,2022,79.02
Guerrero,2023,78.24
Guerrero,2024,77.9
Guerrero,2025,76.35
Hidalgo,2005,75.72
Hidalgo,2006,73.16
Hidalgo,2007,72.97
Hidalgo,2008,74.27
Hidalgo,2009,74.09
Hidalgo,2010,75.22
Hidalgo,2011,75.23
Hidalgo,2012,73.72
Hidalgo,2013,73.5
Hidalgo,2014,71.34
Hidalgo,2015,71.9
Hidalgo,2016,72.51
Hidalgo,2017,73.92
Hidalgo,2018,74.5
Hidalgo,2019,73.63
Hidalgo,2020,72.94
Hidalgo,2021,72.41
Hidalgo,2022,72.55
Hidalgo,2023,71.91
Hidalgo,2024,71.23
Hidalgo,2025,71.32
Jalisco,2005,57.5
Jalisco,2006,55.69
Jalisco,2007,53.16
Jalisco,2008,54.22
Jalisco,2009,56.1
Jalisco,2010,55.75
Jalisco,2011,54.87
Jalisco,2012,56.3
Jalisco,2013,53.9
Jalisco,2014,52.04
Jalisco,2015,50.09
Jalisco,2016,50.2
Jalisco,2017,50.51
Jalisco,2018,49.74
Jalisco,2019,48.89
Jalisco,2020,48.39
Jalisco,2021,47.6
Jalisco,2022,46.75
Jalisco,2023,47.12
Jalisco,2024,47.5
