estado,año,pibe_millones,poblacion,pib_per_capita,pct_secundario,pct_terciario,informalidad_pct,escolaridad_promedio,ied_mdd,remesas_mdd,homicidios_100k
Aguascalientes,2006,200318,1068000,187564,37.33,51.5,46.05,9.23,140.59,379.39,2.43
Baja California,2006,772687,2951000,261839,45.97,44.55,39.44,9.26,1340.72,302.06,15.76
Baja California Sur,2006,126685,518000,244566,21.63,69.33,37.53,9.4,592.18,28.53,5.02
Campeche,2006,959641,724000,1325471,89.95,8.76,60.03,8.51,30.42,82.01,4.56
Coahuila de Zaragoza,2006,798549,2528000,315882,56.06,35.25,40.34,9.47,608.28,275.33,4.23
Colima,2006,114844,611000,187961,25.85,63.36,51.96,8.95,106.5,183.1,7.2
Chiapas,2006,321114,4432000,72454,26.63,62.35,78.71,6.67,89.26,940.84,12.16
Chihuahua,2006,635598,3311000,191966,39.12,48.77,41.25,8.82,1948.82,473.93,19.57
Ciudad de México,2006,3134225,8721000,359388,15.47,77.78,49.55,10.54,5671.13,1490.39,9.37
Durango,2006,241373,1509000,159956,32.73,52.41,54.81,8.58,10.77,428.5,11.27
Guanajuato,2006,769496,5030000,152981,37.8,52.48,59.69,7.73,596.47,2311.2,4.1
Guerrero,2006,280083,3218000,87036,18.3,71.17,75.91,7.27,164.03,1455.72,24.52
Hidalgo,2006,349080,2401000,145389,45.15,46.06,73.16,8.1,194.38,982.85,1.96
Jalisco,2006,1340006,7135000,187807,29.95,57.11,55.69,8.78,992.74,1975.48,6.7
México,2006,1710986,14734000,116125,32.74,57.36,58.0,9.1,2403.1,2079.15,11.86
Michoacán de Ocampo,2006,485162,4052000,119734,23.25,61.49,71.57,7.42,63.35,2503.69,24.48
Morelos,2006,232044,1657000,140039,29.49,60.6,66.37,8.9,173.95,588.0,8.51
Nayarit,2006,135897,1007000,134952,26.05,61.13,62.15,8.61,246.49,348.24,10.53
Nuevo León,2006,1469584,4299000,341843,42.17,49.99,39.65,9.81,1727.22,342.55,3.91
Oaxaca,2006,380271,3651000,104155,34.97,56.0,79.91,6.94,110.28,1360.18,14.24
Puebla,2006,650293,5813000,111869,33.44,55.99,74.99,7.95,424.98,1482.57,6.09
Querétaro,2006,427147,1604000,266301,46.03,44.98,48.95,8.92,750.58,484.08,3.8
Quintana Roo,2006,234333,1191000,196753,15.68,75.81,50.2,9.12,412.11,99.54,5.63
San Luis Potosí,2006,377360,2487000,151733,39.69,51.1,61.76,8.26,198.72,714.49,6.35
Sinaloa,2006,411251,2701000,152259,18.92,64.36,54.91,9.08,146.66,503.22,17.14
