estado,año,pibe_millones,poblacion,pibe_per_capita
Aguascalientes,2003,176577,987000,178903
Baja California,2003,682997,2688000,254091
Baja California Sur,2003,102696,466000,220378
Campeche,2003,986878,693000,1424066
Coahuila de Zaragoza,2003,725622,2378000,305140
Colima,2003,106240,567000,187372
Chiapas,2003,314665,4243000,74161
Chihuahua,2003,559445,3163000,176872
Ciudad de México,2003,2842789,8724000,325858
Durango,2003,231279,1480000,156270
Guanajuato,2003,708928,4771000,148591
Guerrero,2003,254043,3139000,80931
Hidalgo,2003,331525,2302000,144016
Jalisco,2003,1212171,6752000,179528
México,2003,1533475,14049000,109152
Michoacán de Ocampo,2003,448525,3958000,113321
Morelos,2003,217613,1588000,137036
Nayarit,2003,112071,952000,117722
Nuevo León,2003,1289662,3950000,326497
Oaxaca,2003,362456,3561000,101785
Puebla,2003,576613,5496000,104915
Querétaro,2003,361414,1459000,247714
Quintana Roo,2003,196536,1025000,191742
San Luis Potosí,2003,321099,2387000,134520
Sinaloa,2003,371316,2617000,141886
Sonora,2003,510814,2399000,212928
Tabasco,2003,396078,1894000,209122
Tamaulipas,2003,582321,2969000,196134
Tlaxcala,2003,111663,1011000,110448
Veracruz de Ignacio de la Llave,2003,891803,7145000,124815
Yucatán,2003,237526,1818000,130652
Zacatecas,2003,142477,1381000,103169
Aguascalientes,2004,182405,1013000,180064
Baja California,2004,697269,2775000,251268
Baja California Sur,2004,110723,483000,229240
Campeche,2004,998062,703000,1419718
Coahuila de Zaragoza,2004,738323,2427000,304212
Colima,2004,107179,581000,184473
Chiapas,2004,304083,4305000,70635
Chihuahua,2004,577533,3212000,179805
Ciudad de México,2004,2962342,8720000,339718
Durango,2004,242836,1490000,162977
Guanajuato,2004,728133,4856000,149945
Guerrero,2004,265397,3166000,83827
Hidalgo,2004,357756,2334000,153280
Jalisco,2004,1246901,6877000,181315
México,2004,1567254,14274000,109798
Michoacán de Ocampo,2004,459994,3990000,115287
Morelos,2004,224158,1611000,139142
Nayarit,2004,128878,970000,132864
Nuevo León,2004,1335508,4064000,328619
Oaxaca,2004,369439,3591000,102879
Puebla,2004,592032,5600000,105720
Querétaro,2004,384868,1506000,255556
Quintana Roo,2004,213012,1079000,197416
San Luis Potosí,2004,352876,2420000,145817
Sinaloa,2004,396223,2645000,149801
Sonora,2004,533389,2440000,218602
Tabasco,2004,410827,1930000,212864
Tamaulipas,2004,609100,3019000,201756
Tlaxcala,2004,116474,1029000,113191
Veracruz de Ignacio de la Llave,2004,931126,7187000,129557
Yucatán,2004,246930,1862000,132615
Zacatecas,2004,146477,1396000,104926
Aguascalientes,2005,185651,1040000,178511
Baja California,2005,716802,2862000,250455
Baja California Sur,2005,117708,500000,235416
Campeche,2005,985831,714000,1380716
Coahuila de Zaragoza,2005,751258,2477000,303294
Colima,2005,107631,596000,180589
Chiapas,2005,310294,4368000,71038
Chihuahua,2005,592161,3261000,181589
Ciudad de México,2005,2991075,8720000,343013
Durango,2005,235762,1499000,157280
Guanajuato,2005,731639,4942000,148045
Guerrero,2005,272647,3192000,85416
Hidalgo,2005,353466,2367000,149331
Jalisco,2005,1274856,7005000,181992
México,2005,1617554,14503000,111532
Michoacán de Ocampo,2005,461304,4021000,114724
Morelos,2005,235326,1634000,144018
Nayarit,2005,135701,989000,137210
Nuevo León,2005,1368862,4180000,327479
Oaxaca,2005,376461,3621000,103966
Puebla,2005,621212,5706000,108870
Querétaro,2005,403092,1554000,259390
Quintana Roo,2005,220252,1134000,194226
San Luis Potosí,2005,366859,2453000,149555
Sinaloa,2005,393984,2673000,147394
Sonora,2005,559242,2482000,225319
Tabasco,2005,443012,1966000,225337
Tamaulipas,2005,638372,3070000,207939
Tlaxcala,2005,111972,1048000,106844
Veracruz de Ignacio de la Llave,2005,940665,7229000,130124
Yucatán,2005,258321,1907000,135459
Zacatecas,2005,150277,1410000,106579
Aguascalientes,2006,200318,1068000,187564
Baja California,2006,772687,2951000,261839
Baja California Sur,2006,126685,518000,244566
Campeche,2006,959641,724000,1325471
Coahuila de Zaragoza,2006,798549,2528000,315882
Colima,2006,114844,611000,187961
Chiapas,2006,321114,4432000,72454
Chihuahua,2006,635598,3311000,191966
Ciudad de México,2006,3134225,8721000,359388
Durango,2006,241373,1509000,159956
Guanajuato,2006,769496,5030000,152981
Guerrero,2006,280083,3218000,87036
Hidalgo,2006,349080,2401000,145389
Jalisco,2006,1340006,7135000,187807
México,2006,1710986,14734000,116125
Michoacán de Ocampo,2006,485162,4052000,119734
Morelos,2006,232044,1657000,140039
