año,estado,remesas_mdd
2003,Aguascalientes,260.27
2004,Aguascalientes,314.83
2005,Aguascalientes,322.59
2006,Aguascalientes,379.39
2007,Aguascalientes,381.71
2008,Aguascalientes,346.0
2009,Aguascalientes,293.05
2010,Aguascalientes,303.4
2011,Aguascalientes,316.32
2012,Aguascalientes,345.23
2013,Aguascalientes,316.8
2014,Aguascalientes,334.54
2015,Aguascalientes,357.1
2016,Aguascalientes,405.7
2017,Aguascalientes,444.72
2018,Aguascalientes,486.17
2019,Aguascalientes,517.59
2020,Aguascalientes,556.63
2021,Aguascalientes,710.99
2022,Aguascalientes,860.16
2023,Aguascalientes,938.87
2003,Baja California,142.0
2004,Baja California,165.03
2005,Baja California,256.64
2006,Baja California,302.06
2007,Baja California,342.79
2008,Baja California,348.16
2009,Baja California,334.35
2010,Baja California,359.18
2011,Baja California,409.71
2012,Baja California,482.63
2013,Baja California,626.67
2014,Baja California,629.9
2015,Baja California,673.48
2016,Baja California,683.56
2017,Baja California,764.64
2018,Baja California,875.12
2019,Baja California,936.0
2020,Baja California,1215.59
2021,Baja California,1375.94
2022,Baja California,1390.79
2023,Baja California,1447.33
2003,Baja California Sur,18.95
2004,Baja California Sur,17.8
2005,Baja California Sur,24.45
2006,Baja California Sur,28.53
2007,Baja California Sur,32.82
2008,Baja California Sur,36.13
2009,Baja California Sur,33.14
2010,Baja California Sur,34.83
2011,Baja California Sur,37.85
2012,Baja California Sur,42.94
2013,Baja California Sur,47.43
2014,Baja California Sur,48.07
2015,Baja California Sur,52.37
2016,Baja California Sur,56.12
2017,Baja California Sur,67.96
2018,Baja California Sur,79.65
2019,Baja California Sur,88.78
2020,Baja California Sur,111.11
2021,Baja California Sur,127.97
2022,Baja California Sur,204.18
2023,Baja California Sur,178.27
2003,Campeche,51.61
2004,Campeche,53.3
2005,Campeche,65.73
2006,Campeche,82.01
2007,Campeche,82.38
2008,Campeche,75.8
2009,Campeche,57.97
2010,Campeche,56.83
2011,Campeche,59.7
2012,Campeche,57.72
2013,Campeche,56.93
2014,Campeche,57.69
2015,Campeche,58.16
2016,Campeche,67.01
2017,Campeche,77.44
2018,Campeche,81.73
2019,Campeche,91.22
2020,Campeche,119.09
2021,Campeche,150.91
2022,Campeche,160.52
2023,Campeche,173.7
2003,Coahuila,139.83
2004,Coahuila,180.04
2005,Coahuila,240.76
2006,Coahuila,275.33
2007,Coahuila,300.33
2008,Coahuila,289.93
2009,Coahuila,243.15
2010,Coahuila,241.57
2011,Coahuila,255.03
2012,Coahuila,294.32
2013,Coahuila,338.88
2014,Coahuila,404.93
2015,Coahuila,411.92
2016,Coahuila,430.93
2017,Coahuila,535.43
2018,Coahuila,605.67
2019,Coahuila,657.47
2020,Coahuila,734.53
2021,Coahuila,924.6
2022,Coahuila,1061.19
2023,Coahuila,1051.84
2003,Colima,103.74
2004,Colima,134.35
2005,Colima,165.08
2006,Colima,183.1
2007,Colima,204.31
2008,Colima,192.29
2009,Colima,171.14
2010,Colima,177.05
2011,Colima,189.82
2012,Colima,186.97
2013,Colima,190.11
2014,Colima,223.87
2015,Colima,234.78
2016,Colima,257.96
2017,Colima,311.52
2018,Colima,331.04
2019,Colima,311.94
2020,Colima,359.39
2021,Colima,444.47
2022,Colima,467.83
2023,Colima,479.48
2003,Chiapas,435.13
2004,Chiapas,587.55
2005,Chiapas,765.34
2006,Chiapas,940.84
2007,Chiapas,943.96
2008,Chiapas,844.68
2009,Chiapas,633.11
2010,Chiapas,593.0
2011,Chiapas,614.24
2012,Chiapas,594.35
2013,Chiapas,520.48
2014,Chiapas,519.68
2015,Chiapas,593.23
2016,Chiapas,593.04
2017,Chiapas,668.28
2018,Chiapas,844.96
2019,Chiapas,1034.75
2020,Chiapas,1181.09
2021,Chiapas,1935.53
2022,Chiapas,3190.71
2023,Chiapas,4367.29
2003,Chihuahua,236.67
2004,Chihuahua,279.42
2005,Chihuahua,389.19
2006,Chihuahua,473.93
2007,Chihuahua,471.67
2008,Chihuahua,494.47
2009,Chihuahua,423.48
2010,Chihuahua,410.7
2011,Chihuahua,432.97
2012,Chihuahua,484.51
2013,Chihuahua,533.54
2014,Chihuahua,565.72
2015,Chihuahua,662.82
2016,Chihuahua,715.53
2017,Chihuahua,828.5
2018,Chihuahua,995.33
2019,Chihuahua,1147.36
2020,Chihuahua,1284.1
2021,Chihuahua,1597.45
2022,Chihuahua,1625.93
2023,Chihuahua,1591.88
2003,Ciudad de México,814.76
2004,Ciudad de México,921.67
2005,Ciudad de México,1312.65
2006,Ciudad de México,1490.39
2007,Ciudad de México,1084.38
2008,Ciudad de México,1128.68
2009,Ciudad de México,1002.86
2010,Ciudad de México,1031.48
2011,Ciudad de México,1189.58
2012,Ciudad de México,1051.48
2013,Ciudad de México,1444.92
2014,Ciudad de México,1558.8
2015,Ciudad de México,1094.2
2016,Ciudad de México,1435.33
2017,Ciudad de México,1330.21
2018,Ciudad de México,1466.62
2019,Ciudad de México,1761.61
2020,Ciudad de México,2194.25
2021,Ciudad de México,3000.28
2022,Ciudad de México,3184.2
2023,Ciudad de México,3867.94
2003,Durango,262.49
2004,Durango,329.67
2005,Durango,384.3
2006,Durango,428.5
2007,Durango,464.13
2008,Durango,460.36
2009,Durango,389.17
2010,Durango,391.32
2011,Durango,430.22
2012,Durango,447.42
2013,Durango,475.87
2014,Durango,507.79
2015,Durango,610.44
2016,Durango,621.16
2017,Durango,736.76
2018,Durango,833.78
2019,Durango,903.9
2020,Durango,987.22
2021,Durango,1272.64
2022,Durango,1361.77
2023,Durango,1391.04
2003,Estado de México,1106.46
2004,Estado de México,1445.79
2005,Estado de México,1764.88
2006,Estado de México,2079.15
2007,Estado de México,2220.64
2008,Estado de México,2152.14
2009,Estado de México,1766.03
2010,Estado de México,1690.43
2011,Estado de México,1712.49
2012,Estado de México,1622.89
2013,Estado de México,1485.73
2014,Estado de México,1512.02
2015,Estado de México,1602.5
2016,Estado de México,1650.22
2017,Estado de México,1814.48
2018,Estado de México,1967.91
2019,Estado de México,2109.42
2020,Estado de México,2495.26
2021,Estado de México,3216.04
2022,Estado de México,3554.6
2023,Estado de México,4353.76
2003,Guanajuato,1407.46
2004,Guanajuato,1727.99
2005,Guanajuato,1904.76
2006,Guanajuato,2311.2
2007,Guanajuato,2447.09
2008,Guanajuato,2413.75
2009,Guanajuato,2019.55
2010,Guanajuato,2045.24
2011,Guanajuato,2226.19
2012,Guanajuato,2219.07
2013,Guanajuato,2080.27
2014,Guanajuato,2162.0
2015,Guanajuato,2257.76
2016,Guanajuato,2459.62
2017,Guanajuato,2806.23
2018,Guanajuato,3108.65
2019,Guanajuato,3388.21
2020,Guanajuato,3552.55
2021,Guanajuato,4380.32
2022,Guanajuato,5053.89
2023,Guanajuato,5414.47
2003,Guerrero,877.45
2004,Guerrero,1018.35
2005,Guerrero,1174.61
2006,Guerrero,1455.72
2007,Guerrero,1525.81
2008,Guerrero,1494.66
2009,Guerrero,1246.35
2010,Guerrero,1240.3
2011,Guerrero,1303.5
2012,Guerrero,1277.58
2013,Guerrero,1250.03
2014,Guerrero,1245.18
2015,Guerrero,1313.13
2016,Guerrero,1406.41
2017,Guerrero,1535.04
2018,Guerrero,1669.35
2019,Guerrero,1804.77
2020,Guerrero,2006.71
2021,Guerrero,2682.05
2022,Guerrero,2990.07
