estado,año,homicidios_100k
Aguascalientes,2003,2.53
Aguascalientes,2004,2.07
Aguascalientes,2005,2.5
Aguascalientes,2006,2.43
Aguascalientes,2007,3.83
Aguascalientes,2008,5.24
Aguascalientes,2009,5.8
Aguascalientes,2010,6.33
Aguascalientes,2011,6.74
Aguascalientes,2012,3.61
Aguascalientes,2013,3.51
Aguascalientes,2014,3.5
Aguascalientes,2015,3.34
Aguascalientes,2016,3.33
Aguascalientes,2017,5.92
Aguascalientes,2018,5.64
Aguascalientes,2019,8.05
Aguascalientes,2020,6.53
Aguascalientes,2021,6.98
Aguascalientes,2022,5.77
Aguascalientes,2023,7.25
Baja California,2003,16.89
Baja California,2004,17.23
Baja California,2005,15.37
Baja California,2006,15.76
Baja California,2007,12.14
Baja California,2008,32.95
Baja California,2009,47.55
Baja California,2010,46.21
Baja California,2011,24.03
Baja California,2012,16.95
Baja California,2013,21.98
Baja California,2014,20.2
Baja California,2015,23.65
Baja California,2016,31.3
Baja California,2017,57.82
Baja California,2018,76.19
Baja California,2019,72.5
Baja California,2020,78.72
Baja California,2021,83.03
Baja California,2022,72.17
Baja California,2023,63.24
Baja California Sur,2003,5.36
Baja California Sur,2004,6.0
Baja California Sur,2005,6.8
Baja California Sur,2006,5.02
Baja California Sur,2007,6.52
Baja California Sur,2008,6.85
Baja California Sur,2009,5.92
Baja California Sur,2010,9.27
Baja California Sur,2011,6.81
Baja California Sur,2012,5.76
Baja California Sur,2013,7.04
Baja California Sur,2014,13.26
Baja California Sur,2015,24.97
Baja California Sur,2016,31.73
Baja California Sur,2017,96.28
Baja California Sur,2018,24.66
Baja California Sur,2019,12.34
Baja California Sur,2020,9.76
Baja California Sur,2021,9.24
Baja California Sur,2022,10.37
Baja California Sur,2023,5.53
Campeche,2003,6.35
Campeche,2004,5.12
Campeche,2005,6.58
Campeche,2006,4.56
Campeche,2007,6.8
Campeche,2008,7.25
Campeche,2009,7.68
Campeche,2010,6.27
Campeche,2011,6.04
Campeche,2012,10.14
Campeche,2013,8.86
Campeche,2014,9.61
Campeche,2015,8.13
Campeche,2016,11.14
Campeche,2017,9.21
Campeche,2018,9.2
Campeche,2019,9.53
Campeche,2020,9.27
Campeche,2021,12.68
Campeche,2022,12.67
Campeche,2023,12.89
Coahuila de Zaragoza,2003,4.96
Coahuila de Zaragoza,2004,4.82
Coahuila de Zaragoza,2005,6.14
Coahuila de Zaragoza,2006,4.23
Coahuila de Zaragoza,2007,4.3
Coahuila de Zaragoza,2008,6.84
Coahuila de Zaragoza,2009,10.37
Coahuila de Zaragoza,2010,16.43
Coahuila de Zaragoza,2011,26.2
Coahuila de Zaragoza,2012,40.85
Coahuila de Zaragoza,2013,27.63
Coahuila de Zaragoza,2014,15.9
Coahuila de Zaragoza,2015,10.42
Coahuila de Zaragoza,2016,8.39
Coahuila de Zaragoza,2017,8.82
Coahuila de Zaragoza,2018,7.68
Coahuila de Zaragoza,2019,9.46
Coahuila de Zaragoza,2020,7.88
Coahuila de Zaragoza,2021,5.38
Coahuila de Zaragoza,2022,5.17
Coahuila de Zaragoza,2023,3.86
Colima,2003,7.58
Colima,2004,9.12
Colima,2005,8.56
Colima,2006,7.2
Colima,2007,6.87
Colima,2008,8.89
Colima,2009,9.3
Colima,2010,19.52
Colima,2011,23.73
Colima,2012,37.7
Colima,2013,31.29
Colima,2014,19.05
Colima,2015,30.23
Colima,2016,79.92
Colima,2017,110.73
Colima,2018,93.49
Colima,2019,101.84
Colima,2020,90.01
Colima,2021,75.88
Colima,2022,107.13
Colima,2023,104.43
Chiapas,2003,10.46
Chiapas,2004,5.2
Chiapas,2005,6.98
Chiapas,2006,12.16
Chiapas,2007,2.25
Chiapas,2008,5.77
Chiapas,2009,11.11
Chiapas,2010,4.24
Chiapas,2011,3.91
Chiapas,2012,8.08
Chiapas,2013,10.04
Chiapas,2014,9.26
Chiapas,2015,10.7
Chiapas,2016,10.8
Chiapas,2017,11.4
Chiapas,2018,12.6
Chiapas,2019,11.62
Chiapas,2020,10.5
Chiapas,2021,10.79
Chiapas,2022,9.28
Chiapas,2023,11.32
Chihuahua,2003,16.98
Chihuahua,2004,14.82
Chihuahua,2005,17.45
Chihuahua,2006,19.57
Chihuahua,2007,15.41
Chihuahua,2008,76.25
Chihuahua,2009,106.07
Chihuahua,2010,182.48
Chihuahua,2011,127.26
Chihuahua,2012,77.84
Chihuahua,2013,59.48
Chihuahua,2014,48.6
Chihuahua,2015,42.35
Chihuahua,2016,48.77
Chihuahua,2017,60.84
Chihuahua,2018,79.95
Chihuahua,2019,78.19
Chihuahua,2020,97.53
Chihuahua,2021,74.21
Chihuahua,2022,56.38
Chihuahua,2023,63.53
Ciudad de México,2003,11.16
Ciudad de México,2004,10.87
Ciudad de México,2005,10.08
Ciudad de México,2006,9.37
Ciudad de México,2007,9.71
Ciudad de México,2008,10.66
Ciudad de México,2009,11.21
Ciudad de México,2010,12.33
Ciudad de México,2011,12.61
Ciudad de México,2012,12.45
Ciudad de México,2013,12.75
Ciudad de México,2014,12.63
Ciudad de México,2015,12.42
Ciudad de México,2016,14.71
Ciudad de México,2017,15.18
Ciudad de México,2018,16.9
Ciudad de México,2019,14.97
Ciudad de México,2020,16.28
Ciudad de México,2021,12.63
Ciudad de México,2022,8.48
Ciudad de México,2023,8.24
Durango,2003,14.05
Durango,2004,10.6
Durango,2005,11.54
Durango,2006,11.27
Durango,2007,11.45
Durango,2008,27.47
Durango,2009,65.82
Durango,2010,71.59
Durango,2011,68.23
Durango,2012,52.42
Durango,2013,29.99
Durango,2014,21.93
Durango,2015,12.4
Durango,2016,13.33
Durango,2017,12.38
Durango,2018,10.96
Durango,2019,10.71
Durango,2020,10.84
Durango,2021,8.94
Durango,2022,7.7
Durango,2023,5.41
Guanajuato,2003,4.63
Guanajuato,2004,3.64
Guanajuato,2005,4.37
Guanajuato,2006,4.1
Guanajuato,2007,4.28
Guanajuato,2008,5.67
Guanajuato,2009,9.27
Guanajuato,2010,8.26
Guanajuato,2011,11.22
Guanajuato,2012,12.26
Guanajuato,2013,12.36
Guanajuato,2014,13.85
Guanajuato,2015,16.51
Guanajuato,2016,20.61
Guanajuato,2017,37.59
Guanajuato,2018,56.89
Guanajuato,2019,63.94
Guanajuato,2020,89.63
Guanajuato,2021,70.01
Guanajuato,2022,67.77
Guanajuato,2023,58.63
Guerrero,2003,19.18
Guerrero,2004,18.76
Guerrero,2005,18.52
Guerrero,2006,24.52
Guerrero,2007,23.61
Guerrero,2008,30.73
Guerrero,2009,56.28
Guerrero,2010,46.81
Guerrero,2011,72.1
Guerrero,2012,78.28
Guerrero,2013,66.97
Guerrero,2014,50.29
Guerrero,2015,69.92
Guerrero,2016,74.26
Guerrero,2017,74.96
Guerrero,2018,66.79
Guerrero,2019,54.26
Guerrero,2020,44.41
Guerrero,2021,41.91
Guerrero,2022,38.86
Guerrero,2023,46.82
Hidalgo,2003,3.13
Hidalgo,2004,3.77
Hidalgo,2005,3.08
Hidalgo,2006,1.96
Hidalgo,2007,3.04
Hidalgo,2008,3.04
Hidalgo,2009,5.83
Hidalgo,2010,4.41
Hidalgo,2011,8.19
Hidalgo,2012,6.19
Hidalgo,2013,6.29
Hidalgo,2014,7.79
Hidalgo,2015,8.51
Hidalgo,2016,7.89
Hidalgo,2017,11.15
Hidalgo,2018,11.91
Hidalgo,2019,16.56
Hidalgo,2020,13.3
